timestamp,CRITICAL,HIGH,MEDIUM,LOW
2025-12-06 12:51:25,0,0,3,3
2025-12-07 12:50:06,0,0,3,3
2025-12-08 12:57:07,0,0,3,3
2025-12-09 12:59:14,0,0,3,3
2025-12-10 12:59:16,0,0,3,3
2025-12-11 13:00:35,0,0,3,3
2025-12-12 12:57:44,0,0,3,3
